id,company_name,country,region,segment,likely_relevance,buyer_or_supplier,website,linkedin_url,evidence_status,outreach_priority,suggested_angle,notes
NL-TGT-016,Dutch infrastructure contractor target 016,Netherlands,National,Dutch infrastructure contractors,Major infrastructure and waterways,supplier,,,research_needed,high,Discuss Rijkswaterstaat style source validation,Placeholder account for research; sample/demo target only
NL-TGT-017,Dutch infrastructure contractor target 017,Netherlands,South Holland,Dutch infrastructure contractors,Port access and heavy civils,supplier,,,research_needed,high,Validate port and logistics infrastructure segment,Placeholder account for research; sample/demo target only
NL-TGT-018,Dutch infrastructure contractor target 018,Netherlands,North Holland,Dutch infrastructure contractors,Bridge and asset maintenance,supplier,,,research_needed,high,Ask for bridge maintenance opportunity ranking feedback,Placeholder account for research; sample/demo target only
NL-TGT-019,Dutch infrastructure contractor target 019,Netherlands,Zeeland,Dutch infrastructure contractors,Coastal roads and structures,supplier,,,research_needed,medium,Test coastal infrastructure pilot messaging,Placeholder account for research; sample/demo target only
NL-TGT-020,Dutch infrastructure contractor target 020,Netherlands,Gelderland,Dutch infrastructure contractors,Road and rail adjacent works,supplier,,,research_needed,medium,Ask for cross-border TED relevance feedback,Placeholder account for research; sample/demo target only
NL-TGT-021,Dutch infrastructure contractor target 021,Netherlands,North Brabant,Dutch infrastructure contractors,Urban infrastructure programmes,supplier,,,research_needed,medium,Validate source coverage and buyer categories,Placeholder account for research; sample/demo target only
NL-TGT-022,Dutch infrastructure contractor target 022,Netherlands,Limburg,Dutch infrastructure contractors,Rhine corridor and logistics works,supplier,,,research_needed,medium,Ask about Benelux cross-border procurement needs,Placeholder account for research; sample/demo target only
NL-TGT-023,Dutch infrastructure contractor target 023,Netherlands,Overijssel,Dutch infrastructure contractors,Provincial infrastructure maintenance,supplier,,,research_needed,low,Review maintenance and framework signals,Placeholder account for research; sample/demo target only
NL-TGT-024,Dutch infrastructure contractor target 024,Netherlands,Flevoland,Dutch infrastructure contractors,Rural infrastructure and drainage,supplier,,,research_needed,low,Ask whether regional notices are worth tracking,Placeholder account for research; sample/demo target only
NL-TGT-025,Dutch infrastructure contractor target 025,Netherlands,South Holland,Dutch infrastructure contractors,Tunnel bridge and quay packages,supplier,,,research_needed,high,Validate higher-value opportunity scoring,Placeholder account for research; sample/demo target only
NL-TGT-026,Dutch infrastructure contractor target 026,Netherlands,North Holland,Dutch infrastructure contractors,Transport infrastructure delivery,supplier,,,research_needed,medium,Ask about transport authority buyer signals,Placeholder account for research; sample/demo target only
NL-TGT-027,Dutch infrastructure contractor target 027,Netherlands,Utrecht,Dutch infrastructure contractors,Regional roads and structures,supplier,,,research_needed,medium,Test fit score credibility with bid teams,Placeholder account for research; sample/demo target only
NL-TGT-028,Dutch infrastructure contractor target 028,Netherlands,National,Dutch infrastructure contractors,Multi-region public infrastructure,supplier,,,research_needed,high,Ask for pilot conversation around selected CPVs,Placeholder account for research; sample/demo target only
NL-TGT-029,Dutch infrastructure contractor target 029,Netherlands,Groningen,Dutch infrastructure contractors,Energy transition infrastructure,supplier,,,research_needed,medium,Validate infrastructure and utilities overlap,Placeholder account for research; sample/demo target only
NL-TGT-030,Dutch infrastructure contractor target 030,Netherlands,Friesland,Dutch infrastructure contractors,Waterway and bridge maintenance,supplier,,,research_needed,medium,Ask for waterway asset source validation,Placeholder account for research; sample/demo target only
NL-TGT-031,Water public works supplier target 031,Netherlands,Groningen,water/public works suppliers,Pumping stations and wastewater upgrades,supplier,,,research_needed,high,Lead with water authority resilience pilot,Placeholder account for research; sample/demo target only
NL-TGT-032,Water public works supplier target 032,Netherlands,Friesland,water/public works suppliers,Flood resilience and drainage systems,supplier,,,research_needed,high,Ask for waterschap source coverage feedback,Placeholder account for research; sample/demo target only
NL-TGT-033,Water public works supplier target 033,Netherlands,Zeeland,water/public works suppliers,Coastal protection and drainage,supplier,,,research_needed,high,Validate flood resilience opportunity ranking,Placeholder account for research; sample/demo target only
NL-TGT-034,Water public works supplier target 034,Netherlands,South Holland,water/public works suppliers,Urban stormwater and public realm,supplier,,,research_needed,high,Ask for drainage maintenance pilot input,Placeholder account for research; sample/demo target only
NL-TGT-035,Water public works supplier target 035,Netherlands,North Holland,water/public works suppliers,Sewer inspection and repairs,supplier,,,research_needed,medium,Position as weekly drainage opportunity shortlist,Placeholder account for research; sample/demo target only
NL-TGT-036,Water public works supplier target 036,Netherlands,Utrecht,water/public works suppliers,Water management consultancy supply,supplier,,,research_needed,medium,Validate buyer category mapping for water authorities,Placeholder account for research; sample/demo target only
NL-TGT-037,Water public works supplier target 037,Netherlands,Gelderland,water/public works suppliers,River and drainage assets,supplier,,,research_needed,medium,Ask about Rhine corridor water relevance,Placeholder account for research; sample/demo target only
NL-TGT-038,Water public works supplier target 038,Netherlands,Overijssel,water/public works suppliers,Pump maintenance and frameworks,supplier,,,research_needed,medium,Test maintenance framework messaging,Placeholder account for research; sample/demo target only
NL-TGT-039,Water public works supplier target 039,Netherlands,North Brabant,water/public works suppliers,Stormwater and public works products,supplier,,,research_needed,medium,Ask for supplier-specific opportunity fields,Placeholder account for research; sample/demo target only
NL-TGT-040,Water public works supplier target 040,Netherlands,Limburg,water/public works suppliers,Drainage and flood response,supplier,,,research_needed,low,Use as regional research queue,Placeholder account for research; sample/demo target only
NL-TGT-041,Water public works supplier target 041,Netherlands,Flevoland,water/public works suppliers,Culverts and rural drainage,supplier,,,research_needed,medium,Validate rural drainage source filters,Placeholder account for research; sample/demo target only
NL-TGT-042,Water public works supplier target 042,Netherlands,National,water/public works suppliers,Water infrastructure products,supplier,,,research_needed,high,Ask about CPV groups for public works suppliers,Placeholder account for research; sample/demo target only
NL-TGT-043,Water public works supplier target 043,Netherlands,South Holland,water/public works suppliers,Quay drainage and pumping systems,supplier,,,research_needed,medium,Review quay and drainage opportunity examples,Placeholder account for research; sample/demo target only
NL-TGT-044,Water public works supplier target 044,Netherlands,North Holland,water/public works suppliers,Public works maintenance supply,supplier,,,research_needed,medium,Ask whether buyer signals help supplier targeting,Placeholder account for research; sample/demo target only
NL-TGT-045,Water public works supplier target 045,Netherlands,Zeeland,water/public works suppliers,Waterfront maintenance and resilience,supplier,,,research_needed,medium,Validate source validation ask,Placeholder account for research; sample/demo target only
NL-TGT-046,Maintenance framework contractor target 046,Netherlands,South Holland,maintenance/framework contractors,Road and public realm maintenance,supplier,,,research_needed,high,Lead with framework watch and recurring buyer signals,Placeholder account for research; sample/demo target only
NL-TGT-047,Maintenance framework contractor target 047,Netherlands,North Holland,maintenance/framework contractors,Drainage cleaning and incident response,supplier,,,research_needed,high,Ask for maintenance urgency feedback,Placeholder account for research; sample/demo target only
NL-TGT-048,Maintenance framework contractor target 048,Netherlands,Utrecht,maintenance/framework contractors,Traffic management and resurfacing,supplier,,,research_needed,medium,Validate recommended action usefulness,Placeholder account for research; sample/demo target only
NL-TGT-049,Maintenance framework contractor target 049,Netherlands,Zeeland,maintenance/framework contractors,Bridge deck and road repairs,supplier,,,research_needed,high,Ask about bridge maintenance lot detection,Placeholder account for research; sample/demo target only
NL-TGT-050,Maintenance framework contractor target 050,Netherlands,Flevoland,maintenance/framework contractors,Rural road lifecycle works,supplier,,,research_needed,medium,Test maintenance shortlist pilot offer,Placeholder account for research; sample/demo target only
NL-TGT-051,Maintenance framework contractor target 051,Netherlands,Gelderland,maintenance/framework contractors,Asset inspection and minor works,supplier,,,research_needed,medium,Ask whether inspection CPVs should be tracked,Placeholder account for research; sample/demo target only
NL-TGT-052,Maintenance framework contractor target 052,Netherlands,North Brabant,maintenance/framework contractors,Public realm maintenance frameworks,supplier,,,research_needed,medium,Validate city framework messaging,Placeholder account for research; sample/demo target only
NL-TGT-053,Maintenance framework contractor target 053,Netherlands,Limburg,maintenance/framework contractors,Regional maintenance delivery,supplier,,,research_needed,low,Use as lower-priority feedback target,Placeholder account for research; sample/demo target only
NL-TGT-054,Maintenance framework contractor target 054,Netherlands,Overijssel,maintenance/framework contractors,Roadside and drainage maintenance,supplier,,,research_needed,medium,Ask about recurring buyer watchlists,Placeholder account for research; sample/demo target only
NL-TGT-055,Maintenance framework contractor target 055,Netherlands,Groningen,maintenance/framework contractors,Pump station and civil maintenance,supplier,,,research_needed,medium,Validate water maintenance pilot angle,Placeholder account for research; sample/demo target only
NL-TGT-056,Maintenance framework contractor target 056,Netherlands,Friesland,maintenance/framework contractors,Waterway and bridge maintenance,supplier,,,research_needed,medium,Ask about source coverage across water authorities,Placeholder account for research; sample/demo target only
NL-TGT-057,Maintenance framework contractor target 057,Netherlands,National,maintenance/framework contractors,Multi-region frameworks,supplier,,,research_needed,high,Discuss four-week pilot around framework renewals,Placeholder account for research; sample/demo target only
NL-TGT-058,Maintenance framework contractor target 058,Netherlands,South Holland,maintenance/framework contractors,Urban asset maintenance,supplier,,,research_needed,medium,Ask about fit score thresholds,Placeholder account for research; sample/demo target only
NL-TGT-059,Maintenance framework contractor target 059,Netherlands,North Holland,maintenance/framework contractors,Public works response contracts,supplier,,,research_needed,medium,Validate urgency labels for framework work,Placeholder account for research; sample/demo target only
NL-TGT-060,Maintenance framework contractor target 060,Netherlands,Utrecht,maintenance/framework contractors,Minor civils and resurfacing,supplier,,,research_needed,medium,Ask for bid team feedback on dashboard cards,Placeholder account for research; sample/demo target only
NL-TGT-061,Engineering consultancy target 061,Netherlands,South Holland,engineering consultancies,Infrastructure design and advisory,supplier,,,research_needed,high,Ask whether consultancy CPVs belong in the pilot,Placeholder account for research; sample/demo target only
NL-TGT-062,Engineering consultancy target 062,Netherlands,North Holland,engineering consultancies,Asset inspection and transport planning,supplier,,,research_needed,high,Validate inspection and planning source coverage,Placeholder account for research; sample/demo target only
NL-TGT-063,Engineering consultancy target 063,Netherlands,Utrecht,engineering consultancies,Public works bid support,supplier,,,research_needed,medium,Ask about English summaries for Dutch notices,Placeholder account for research; sample/demo target only
NL-TGT-064,Engineering consultancy target 064,Netherlands,Gelderland,engineering consultancies,Water and river engineering,supplier,,,research_needed,medium,Test water consultancy opportunity filters,Placeholder account for research; sample/demo target only
NL-TGT-065,Engineering consultancy target 065,Netherlands,North Brabant,engineering consultancies,Urban mobility and civils design,supplier,,,research_needed,medium,Validate cycling corridor opportunity relevance,Placeholder account for research; sample/demo target only
NL-TGT-066,Engineering consultancy target 066,Netherlands,Zeeland,engineering consultancies,Coastal and flood advisory,supplier,,,research_needed,high,Ask about flood resilience pilot offer,Placeholder account for research; sample/demo target only
NL-TGT-067,Engineering consultancy target 067,Netherlands,Groningen,engineering consultancies,Water treatment and pumping design,supplier,,,research_needed,medium,Validate pump station qualification notes,Placeholder account for research; sample/demo target only
NL-TGT-068,Engineering consultancy target 068,Netherlands,Flevoland,engineering consultancies,Road drainage and rural assets,supplier,,,research_needed,low,Use for regional source feedback,Placeholder account for research; sample/demo target only
NL-TGT-069,Engineering consultancy target 069,Netherlands,Limburg,engineering consultancies,Cross-border infrastructure advisory,supplier,,,research_needed,medium,Ask about Benelux and DACH overlap,Placeholder account for research; sample/demo target only
NL-TGT-070,Engineering consultancy target 070,Netherlands,National,engineering consultancies,Procurement and bid advisory,supplier,,,research_needed,high,Discuss pilot for bid qualification workflows,Placeholder account for research; sample/demo target only
NL-TGT-071,Engineering consultancy target 071,Netherlands,Overijssel,engineering consultancies,Regional roads and bridges,supplier,,,research_needed,medium,Validate road and bridge CPV groups,Placeholder account for research; sample/demo target only
NL-TGT-072,Engineering consultancy target 072,Netherlands,Friesland,engineering consultancies,Waterways and public assets,supplier,,,research_needed,medium,Ask about buyer category mapping,Placeholder account for research; sample/demo target only
NL-TGT-073,Engineering consultancy target 073,Netherlands,South Holland,engineering consultancies,Ports and logistics advisory,supplier,,,research_needed,medium,Test port infrastructure source assumptions,Placeholder account for research; sample/demo target only
NL-TGT-074,Engineering consultancy target 074,Netherlands,North Holland,engineering consultancies,Transport infrastructure advisory,supplier,,,research_needed,medium,Ask whether TED cross-border notices matter,Placeholder account for research; sample/demo target only
NL-TGT-075,Engineering consultancy target 075,Netherlands,Utrecht,engineering consultancies,Public sector procurement advisory,supplier,,,research_needed,high,Ask for source validation conversation,Placeholder account for research; sample/demo target only
NL-TGT-076,UK contractor Netherlands interest target 076,United Kingdom,England,UK contractors with possible Netherlands/EU interest,Potential Netherlands market entry,supplier,,,research_needed,high,Lead with Dutch/EU source validation before bidding,Placeholder account for research; sample/demo target only
NL-TGT-077,UK contractor Netherlands interest target 077,United Kingdom,England,UK contractors with possible Netherlands/EU interest,Civils and public works expansion,supplier,,,research_needed,high,Ask whether Netherlands buyer mapping is useful,Placeholder account for research; sample/demo target only
NL-TGT-078,UK contractor Netherlands interest target 078,United Kingdom,Scotland,UK contractors with possible Netherlands/EU interest,Water and resilience capability,supplier,,,research_needed,medium,Position around flood and drainage opportunities,Placeholder account for research; sample/demo target only
NL-TGT-079,UK contractor Netherlands interest target 079,United Kingdom,Wales,UK contractors with possible Netherlands/EU interest,Infrastructure maintenance expansion,supplier,,,research_needed,medium,Ask about cross-border tender qualification needs,Placeholder account for research; sample/demo target only
NL-TGT-080,UK contractor Netherlands interest target 080,United Kingdom,England,UK contractors with possible Netherlands/EU interest,Highways and structures experience,supplier,,,research_needed,high,Validate TED and Dutch public works shortlist,Placeholder account for research; sample/demo target only
NL-TGT-081,UK contractor Netherlands interest target 081,United Kingdom,England,UK contractors with possible Netherlands/EU interest,Specialist drainage and civils,supplier,,,research_needed,medium,Ask about local partner discovery needs,Placeholder account for research; sample/demo target only
NL-TGT-082,UK contractor Netherlands interest target 082,United Kingdom,Northern Ireland,UK contractors with possible Netherlands/EU interest,EU procurement familiarity,supplier,,,research_needed,medium,Discuss pilot for source validation and CPV mapping,Placeholder account for research; sample/demo target only
NL-TGT-083,UK contractor Netherlands interest target 083,United Kingdom,England,UK contractors with possible Netherlands/EU interest,Public works supplier expansion,supplier,,,research_needed,medium,Use sample dashboard as feedback ask,Placeholder account for research; sample/demo target only
NL-TGT-084,UK contractor Netherlands interest target 084,United Kingdom,England,UK contractors with possible Netherlands/EU interest,Ports and logistics works,supplier,,,research_needed,medium,Ask about North Sea corridor relevance,Placeholder account for research; sample/demo target only
NL-TGT-085,UK contractor Netherlands interest target 085,United Kingdom,England,UK contractors with possible Netherlands/EU interest,Engineering consultancy expansion,supplier,,,research_needed,medium,Validate English summaries and buyer signals,Placeholder account for research; sample/demo target only
NL-TGT-086,UK contractor Netherlands interest target 086,United Kingdom,England,UK contractors with possible Netherlands/EU interest,Water infrastructure products,supplier,,,research_needed,high,Lead with water authority source validation,Placeholder account for research; sample/demo target only
NL-TGT-087,UK contractor Netherlands interest target 087,United Kingdom,Scotland,UK contractors with possible Netherlands/EU interest,Framework and maintenance work,supplier,,,research_needed,medium,Ask whether weekly ranked feed would help,Placeholder account for research; sample/demo target only
NL-TGT-088,DACH contractor Netherlands interest target 088,Germany,North Rhine-Westphalia,DACH contractors with possible Netherlands/EU interest,Rhine corridor infrastructure,supplier,,,research_needed,high,Lead with Benelux and DACH corridor overlap,Placeholder account for research; sample/demo target only
NL-TGT-089,DACH contractor Netherlands interest target 089,Germany,Lower Saxony,DACH contractors with possible Netherlands/EU interest,Border-region civils and roads,supplier,,,research_needed,high,Ask about Netherlands tender source coverage,Placeholder account for research; sample/demo target only
NL-TGT-090,DACH contractor Netherlands interest target 090,Germany,Bavaria,DACH contractors with possible Netherlands/EU interest,EU infrastructure frameworks,supplier,,,research_needed,medium,Validate TED cross-border opportunity logic,Placeholder account for research; sample/demo target only
NL-TGT-091,DACH contractor Netherlands interest target 091,Germany,Hamburg,DACH contractors with possible Netherlands/EU interest,Ports and logistics infrastructure,supplier,,,research_needed,medium,Ask about North Sea port access opportunities,Placeholder account for research; sample/demo target only
NL-TGT-092,DACH contractor Netherlands interest target 092,Germany,Hesse,DACH contractors with possible Netherlands/EU interest,Engineering and public works,supplier,,,research_needed,medium,Use source validation ask for EU notices,Placeholder account for research; sample/demo target only
NL-TGT-093,DACH contractor Netherlands interest target 093,Austria,National,DACH contractors with possible Netherlands/EU interest,EU public procurement expansion,supplier,,,research_needed,low,Ask whether Netherlands is a relevant expansion market,Placeholder account for research; sample/demo target only
NL-TGT-094,DACH contractor Netherlands interest target 094,Switzerland,Zurich,DACH contractors with possible Netherlands/EU interest,Specialist infrastructure advisory,supplier,,,research_needed,medium,Validate cross-border pilot interest,Placeholder account for research; sample/demo target only
NL-TGT-095,DACH contractor Netherlands interest target 095,Switzerland,Basel,DACH contractors with possible Netherlands/EU interest,Rhine corridor works and logistics,supplier,,,research_needed,medium,Ask about corridor buyer signals,Placeholder account for research; sample/demo target only
NL-TGT-096,DACH contractor Netherlands interest target 096,Germany,North Rhine-Westphalia,DACH contractors with possible Netherlands/EU interest,Water and flood resilience,supplier,,,research_needed,high,Lead with water resilience cross-border angle,Placeholder account for research; sample/demo target only
NL-TGT-097,DACH contractor Netherlands interest target 097,Germany,Lower Saxony,DACH contractors with possible Netherlands/EU interest,Road maintenance and frameworks,supplier,,,research_needed,medium,Ask if Dutch framework watch would be valuable,Placeholder account for research; sample/demo target only
NL-TGT-098,DACH contractor Netherlands interest target 098,Austria,Vienna,DACH contractors with possible Netherlands/EU interest,Engineering consultancy and EU tenders,supplier,,,research_needed,low,Use as low-priority market-entry validation,Placeholder account for research; sample/demo target only
NL-TGT-099,DACH contractor Netherlands interest target 099,Switzerland,Geneva,DACH contractors with possible Netherlands/EU interest,Public works product supply,supplier,,,research_needed,low,Ask whether supplier opportunity ranking translates,Placeholder account for research; sample/demo target only
NL-TGT-100,DACH contractor Netherlands interest target 100,Germany,National,DACH contractors with possible Netherlands/EU interest,Large contractor EU procurement monitoring,supplier,,,research_needed,high,Discuss pilot conversation for Netherlands and EU notices,Placeholder account for research; sample/demo target only
